ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_MET_26,Métabolique,P2,PRIMARY,Avez-vous déjà suivi des régimes hypocaloriques (déficit >20%) pendant plus de 8 semaines ?,Choix unique,Jamais | 1 fois | 2-3 fois | 4-5 fois | 6+ fois,"IF Q_PROFIL_04 IN [""Perte de poids/graisse"",""Recomposition""]","IF Q_PROFIL_04 NOT IN [""Perte de poids/graisse"",""Recomposition""]",RC_MET_02,0.90,Metabolic adaptation (Trexler et al. 2014)
Q_MET_27,Métabolique,P2,PRIMARY,"Lors de ces périodes de restriction calorique, quelle était généralement votre perte de poids hebdomadaire moyenne ?",Choix unique,<0.3kg/sem (très lente) | 0.3-0.5kg/sem (modérée) | 0.5-1kg/sem (standard) | 1-1.5kg/sem (agressive) | >1.5kg/sem (très agressive) | N/A - jamais fait,"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.85,Rate of weight loss & adaptation (Garthe et al. 2011)
Q_MET_28,Métabolique,P2,PRIMARY,"Après ces périodes de diète, avez-vous repris du poids ?",Choix unique,Jamais fait diète | Aucune reprise (poids maintenu) | Reprise partielle (<50% poids perdu) | Reprise totale (100% poids perdu) | Reprise excessive (>100% - rebond),"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.90,Weight regain & metabolic adaptation (Dulloo & Montani 2015)
Q_MET_29,Métabolique,P2,SECONDARY,Combien de temps après l'arrêt de la diète cette reprise de poids s'est-elle produite ?,Choix unique,<1 mois | 1-3 mois | 3-6 mois | 6-12 mois | >12 mois | N/A - pas de reprise,"IF Q_MET_28 IN [""Reprise partielle"",""Reprise totale"",""Reprise excessive""]","IF Q_MET_28 NOT IN [""Reprise partielle"",""Reprise totale"",""Reprise excessive""]",RC_MET_02,0.70,Timeline weight regain (Kraschnewski et al. 2010)
Q_MET_30,Métabolique,P2,PRIMARY,Avez-vous remarqué qu'il devient de plus en plus difficile de perdre du poids à chaque nouvelle tentative ?,Échelle 1-10,"1 = Non, aussi facile à chaque fois | 10 = Oui, quasi impossible maintenant","IF Q_MET_26 >= ""2-3 fois""","IF Q_MET_26 IN [""Jamais"",""1 fois""]",RC_MET_02,0.88,Cumulative metabolic adaptation (Dulloo & Montani 2015)
Q_MET_31,Métabolique,P2,SECONDARY,Quelle était votre approche calorique lors de ces diètes passées ?,Choix unique,N/A - jamais fait | Déficit modéré stable (15-20%) | Déficit agressif stable (25-35%) | Déficit très agressif (40%+) | Déficit variable (yo-yo calories) | Low-carb/keto strict | Autre,"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.75,Deficit magnitude & adaptation (Byrne et al. 2012)
Q_MET_32,Métabolique,P2,PRIMARY,"Pendant ces diètes, avez-vous ressenti une fatigue inhabituelle, une frilosité accrue, ou une baisse de libido ?",Choix multiple,N/A - jamais fait | Fatigue chronique marquée | Frilosité constante (froid anormal) | Baisse libido notable | Chute cheveux | Peau sèche | Aucun de ces symptômes,"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.85,Metabolic downregulation symptoms (Rosenbaum et al. 2008)
Q_MET_33,Métabolique,P2,SECONDARY,"Avez-vous déjà pratiqué des ""refeeds"" (jours calories augmentées) ou ""diet breaks"" pendant vos diètes ?",Choix unique,"N/A - jamais fait diète | Oui, régulièrement (1x/semaine ou +) | Oui, occasionnellement | Non, déficit continu sans pause | Ne sais pas ce que c'est","IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.70,Refeeds & metabolic rate (Dirlewanger et al. 2000)
Q_MET_34,Métabolique,P2,SECONDARY,"Lorsque vous augmentez vos calories après une période de diète, prenez-vous du poids très rapidement (>1kg/semaine les 2 premières semaines) ?",Choix unique,"N/A - jamais testé | Oui, reprise très rapide | Reprise modérée (0.5-1kg/sem) | Reprise lente (<0.5kg/sem) | Aucune reprise","IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.80,Rebound hyperplasia (Dulloo 1997)
Q_MET_35,Métabolique,P2,SECONDARY,"Avez-vous déjà fait un ""reverse diet"" (augmentation progressive calories sur plusieurs semaines) après une diète ?",Choix unique,"N/A - jamais fait | Oui, bien toléré (peu de reprise) | Oui, reprise poids malgré progressivité | Non, jamais fait | Ne sais pas ce que c'est","IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.75,Reverse dieting (Trexler et al. 2014)
Q_MET_36,Métabolique,P2,SECONDARY,Comment votre composition corporelle a-t-elle évolué avec vos tentatives passées de transformation ?,Choix unique,N/A - jamais tenté | Perte graisse + gain muscle (recomp réussie) | Perte graisse mais aussi muscle notable | Perte poids mais surtout muscle (skinny-fat) | Yo-yo constant (graisse perdue/reprise),"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",RC_MET_02,0.80,Lean mass preservation (Chaston et al. 2007)
Q_MET_37,Métabolique,P2,SECONDARY,Où avez-vous tendance à stocker prioritairement la graisse corporelle ?,Choix multiple,Abdomen/ventre | Hanches/fessiers | Cuisses | Bras | Dos | Viscéral (graisse interne perceptible) | Répartition homogène,ALWAYS,NEVER,ADIPOSE_DISTRIBUTION,0.70,Fat distribution & metabolic risk (Despres & Lemieux 2006)
Q_MET_38,Métabolique,P2,SECONDARY,Où perdez-vous de la graisse en premier lorsque vous maigrissez ?,Choix unique,N/A - jamais maigri | Visage/haut du corps d'abord | Abdomen/taille | Hanches/cuisses | Répartition homogène | Ne sais pas,"IF Q_MET_26 != ""Jamais""","IF Q_MET_26 = ""Jamais""",LIPOLYSIS_PATTERN,0.65,Regional fat loss (Stallknecht et al. 2007)
Q_MET_39,Métabolique,P2,SECONDARY,"Avez-vous déjà fait mesurer votre composition corporelle (DEXA scan, BodPod, ou impédancemètre professionnel) ?",Choix unique,"Oui, DEXA scan | Oui, BodPod | Oui, impédancemètre professionnel | Oui, pince à pli cutané (coach/pro) | Non, jamais | Balance impédancemètre maison (non fiable)",ALWAYS,NEVER,BODY_COMP_AWARENESS,0.60,Body composition assessment (Heymsfield et al. 2005)
Q_MET_40,Métabolique,P2,SECONDARY,[Si mesuré] Quel était votre pourcentage de masse grasse le plus récent mesuré ?,Numérique,% (5-50),"IF Q_MET_39 IN [""Oui, DEXA scan"",""Oui, BodPod"",""Oui, impédancemètre professionnel""]","IF Q_MET_39 NOT IN [""Oui, DEXA scan"",""Oui, BodPod"",""Oui, impédancemètre professionnel""]",BASELINE_BODY_FAT,0.75,Body fat % norms (Gallagher et al. 2000)
